"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"Y"
380	95	0	228	0	932	594	90	40.56
181.4	0	167	169.6	7.6	1055.6	777.8	14	21.6
322	0	116	196	10	818	813	28	31.18
181.4	0	167	169.6	7.6	1055.6	777.8	3	13.62
154	174	185	228	7	845	612	28	24.34
192	288	0	192	0	929.8	716.1	90	50.73
225	0	0	181	0	1113	833	28	17.34
331	0	0	192	0	1025	821	3	14.31
339	0	0	197	0	968	781	28	32.04
200	133	0	192	0	965.4	806.2	90	43.25
280	129	100	172	9	825	805	28	52.82
376	0	0	214.6	0	1003.5	762.4	14	25.62
380	0	0	228	0	932	670	270	53.3
381.4	0	0	185.7	0	1104.6	784.3	28	22.49
166.8	250.2	0	203.5	0	975.6	692.6	7	15.75
178	129.8	118.6	179.9	3.6	1007.3	746.8	14	34.24
286.3	200.9	0	144.7	11.2	1004.6	803.7	56	72.99
332.5	142.5	0	228	0	932	594	7	30.28
229.7	0	118.2	195.2	6.1	1028.1	757.6	3	13.36
237.5	237.5	0	228	0	932	594	365	39
397	17.2	158	167	20.8	967	633	28	55.65
165	0	143.6	163.8	0	1005.6	900.9	56	36.56
194.7	0	100.5	165.6	7.5	1006.4	905.9	28	25.72
212.6	0	100.4	159.4	10.4	1003.8	903.8	100	47.74
168	42.1	163.8	121.8	5.7	1058.7	780.1	14	17.82
446	24	79	162	10.3	967	712	56	54.77
475	118.8	0	181.1	8.9	852.1	781.5	3	37.8
491	26	123	210	3.9	882	699	3	25.61
141.3	212	0	203.5	0	971.8	748.5	90	39.66
350	0	0	186	0	1050	770	28	34.29
331	0	0	192	0	978	825	90	37.23
145	116	119	184	5.7	833	880	28	29.16
194.7	0	100.5	165.6	7.5	1006.4	905.9	100	37.34
313.3	262.2	0	175.5	8.6	1046.9	611.8	7	42.8
173.5	50.1	173.5	164.8	6.5	1006.2	793.5	100	56.06
425	106.3	0	153.5	16.5	852.1	887.1	56	64.3
165	128.5	132.1	175.1	8.1	1005.8	746.6	56	53.72
168	42.1	163.8	121.8	5.7	1058.7	780.1	3	7.75
238.1	0	94.1	186.7	7	949.9	847	56	39.59
236	157	0	192	0	972.6	749.1	7	20.42
236.9	91.7	71.5	246.9	6	852.9	695.4	28	28.63
255	0	0	192	0	889.8	945	90	21.86
200	0	0	180	0	1125	845	28	12.25
192	288	0	192	0	929.8	716.1	28	39.32
167.4	129.9	128.6	175.5	7.8	1006.3	746.6	14	31.81
491	26	123	201	3.9	822	699	7	37.92
212.5	0	100.4	159.3	8.7	1007.8	903.6	14	26.31
480	0	0	192	0	936.2	712.2	3	24.4
350	0	0	203	0	974	775	7	18.13
173.8	93.4	159.9	172.3	9.7	1007.2	746.6	14	29.55
153	102	0	192	0	888	943.1	7	8.37
288	192	0	192	0	932	717.8	7	23.52
249.1	0	98.8	158.1	12.8	987.8	889	28	30.85
500	0	0	151	9	1033	655	28	69.84
516	0	0	162	8.3	801	802	28	41.37
397	0	0	185	0	1040	734	28	39.09
296	0	0	192	0	1085	765	7	14.2
388.6	97.1	0	157.9	12.1	852.1	925.7	91	57.6
480	0	0	192	0	936.2	712.2	7	34.57
157	236	0	192	0	935.4	781.2	3	9.69
251.4	0	118.3	188.5	6.4	1028.4	757.7	28	32.66
152	178	139	168	18	944	695	28	36.35
212.5	0	100.4	159.3	8.7	1007.8	903.6	3	13.54
212.5	0	100.4	159.3	8.7	1007.8	903.6	56	42.55
382	0	0	186	0	1047	739	28	37.42
231.8	0	121.6	174	6.7	1056.4	778.5	100	45.84
275	180	120	162	10.4	830	765	28	76.24
439	177	0	186	11.1	884.9	707.9	56	71.7
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	100	56.63
304	76	0	228	0	932	670	28	47.81
153	145	0	178	8	1000	822	28	19.01
142	167	130	174	11	883	785	28	44.61
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	28	52.2
168.9	42.2	124.3	158.3	10.8	1080.8	796.2	56	39.15
387	20	94	157	13.9	938	845	3	25.51
218.9	0	124.1	158.5	11.3	1078.7	794.9	14	26.05
164	0	200	181	13	849	846	28	15.09
251.8	0	99.9	146.1	12.4	1006	899.8	28	33.94
277	0	0	191	0	968	856	90	31.25
251.4	0	118.3	188.5	5.8	1028.4	757.7	100	43.58
427.5	47.5	0	228	0	932	594	180	41.84
275.1	0	121.4	159.5	9.9	1053.6	777.5	56	56.85
331	0	0	192	0	1025	821	28	31.74
153	102	0	192	0	888	943.1	90	26.32
212.1	0	121.6	180.3	5.7	1057.6	779.3	3	12.47
165	128.5	132.1	175.1	8.1	1005.8	746.6	28	46.39
190	190	0	228	0	932	670	365	53.69
193.5	290.2	0	185.7	0	998.2	704.3	7	17.2
405	0	0	175	0	1120	695	28	52.3
302	0	0	203	0	974	817	28	21.75
332.5	142.5	0	228	0	932	594	28	33.02
525	0	0	189	0	1125	613	3	33.8
303.6	139.9	0	213.5	6.2	895.5	722.5	28	33.42
116	173	0	192	0	909.8	891.9	28	22.35
252.3	0	98.8	146.3	14.2	987.8	889	3	21.78
446	24	79	162	10.3	967	712	28	53.39
181.9	272.8	0	185.7	0	1012.4	714.3	28	27.94
154.8	183.4	0	193.3	9.1	1047.4	696.7	28	18.29
275	0	0	183	0	1088	808	7	14.2
286.3	200.9	0	144.7	11.2	1004.6	803.7	91	76.8
284	15	141	179	5.5	842	801	7	24.13
250	0	95.7	191.8	5.3	948.9	857.2	28	27.22
298.1	0	107.5	163.6	12.8	953.2	784	28	35.87
330.5	169.6	0	194.9	8.1	811	802.3	28	56.62
349	0	0	192	0	1047	806	360	42.13
143.8	136.3	106.2	178.1	7.5	941.5	774.3	28	26.15
339	0	0	197	0	968	781	90	35.17
236	157	0	192	0	972.6	749.1	28	32.88
173.8	93.4	159.9	172.3	9.7	1007.2	746.6	28	37.81
331	0	0	192	0	1025	821	7	17.44
525	0	0	189	0	1125	613	14	48.4
388.6	97.1	0	157.9	12.1	852.1	925.7	56	55.2
424	22	132	178	8.5	822	750	28	62.05
349	0	0	192	0	1056	809	120	40.86
289	0	0	192	0	913.2	895.3	3	11.65
385	0	136	158	20	903	768	28	55.55
339.2	0	0	185.7	0	1069.2	754.3	7	21.18
522	0	0	146	0	896	896	28	74.99
446	24	79	162	11.6	967	712	7	39.3
262	111	86	195	5	895	733	28	33.72
359	19	141	154	10.9	942	801	56	68.75
202	11	141	206	1.7	942	801	28	21.97
139.6	209.4	0	192	0	1047	806.9	180	44.21
143.7	170.2	132.6	191.6	8.5	814.1	805.3	28	29.87
388.6	97.1	0	157.9	12.1	852.1	925.7	28	50.7
388.6	97.1	0	157.9	12.1	852.1	925.7	7	34.9
231.8	0	121.6	174	6.7	1056.4	778.5	14	26.77
153	102	0	192	0	888	943.1	28	17.96
148.5	139.4	108.6	192.7	6.1	892.4	780	28	23.7
374	0	0	190	7	1013	730	28	39.05
157	236	0	192	0	935.4	781.2	28	33.66
290.4	0	96.2	168.1	9.4	961.2	865	56	45.08
182	45.2	122	170.2	8.2	1059.4	780.7	56	43.5
286.3	200.9	0	144.7	11.2	1004.6	803.7	7	38
250.2	166.8	0	203.5	0	977.6	694.1	7	19.35
424	22	132	168	8.9	822	750	3	32.11
349	0	0	192	0	1056	809	3	15.87
277	0	0	191	0	968	856	3	11.36
148.1	0	136.6	158.1	16.1	1001.8	830.1	28	17.96
149	153	194	192	8	935	623	28	24.58
349	0	0	192	0	1047	806	28	32.72
313.3	262.2	0	175.5	8.6	1046.9	611.8	56	64.9
298	137	107	201	6	878	655	28	53.52
237.5	237.5	0	228	0	932	594	28	30.08
516	0	0	162	8.2	801	802	28	41.37
522	0	0	146	0	896	896	7	50.51
152.7	144.7	0	178.1	8	999.7	822.2	28	19.01
285	190	0	163	7.6	1031	685	28	53.58
250	0	95.7	191.8	5.3	948.9	857.2	56	39.64
213.7	98.1	24.5	181.7	6.9	1065.8	785.4	56	50.77
446	24	79	162	11.6	967	712	3	35.36
531.3	0	0	141.8	28.2	852.1	893.7	91	59.2
144	15	195	176	6	1021	709	28	15.34
265	111	86	195	6	833	790	28	41.54
266	114	0	228	0	932	670	365	52.91
183.9	122.6	0	203.5	0	959.2	800	7	10.79
173.8	93.4	159.9	172.3	9.7	1007.2	746.6	56	48.99
425	106.3	0	151.4	18.6	936	803.7	56	64.9
250	0	95.7	191.8	5.3	948.9	857.2	3	8.49
286.3	200.9	0	144.7	11.2	1004.6	803.7	28	67.7
480	0	0	192	0	936.2	712.2	28	43.94
382	0	0	185	0	1047	739	28	37.42
230	0	118.3	195.5	4.6	1029.4	758.6	100	35.34
212.1	0	121.6	180.3	5.7	1057.6	779.3	100	39.61
305.3	203.5	0	203.5	0	965.4	631	28	43.38
281	0	0	186	0	1104	774	28	22.44
313.3	0	113	178.5	8	1001.9	688.7	28	36.8
540	0	0	162	2.5	1055	676	28	61.89
339	0	0	185	0	1069	754	28	31.84
425	106.3	0	151.4	18.6	936	803.7	3	36.3
231.8	0	121.6	174	6.7	1056.4	778.5	3	15.44
393	0	0	192	0	940.6	785.6	28	39.6
139.6	209.4	0	192	0	1047	806.9	90	39.36
475	118.8	0	181.1	8.9	852.1	781.5	7	55.6
359	19	141	154	10.9	942	801	3	25.12
122.6	183.9	0	203.5	0	958.2	800.1	3	3.32
393	0	0	192	0	940.6	785.6	90	48.85
356	119	0	160	9	1061	657	28	59
333	17.5	163	167	17.9	996	652	28	47.28
213.7	98.1	24.5	181.7	6.9	1065.8	785.4	100	53.9
540	0	0	173	0	1125	613	7	52.61
222.4	0	96.7	189.3	4.5	967.1	870.3	56	29.45
310	0	0	192	0	1012	830	120	38.7
266	112	87	178	10	910	745	28	39.42
450.1	50	0	200	3	1124.4	613.2	28	39.38
234	156	0	189	5.9	981	760	28	39.3
181.4	0	167	169.6	7.6	1055.6	777.8	56	35.57
238.2	158.8	0	185.7	0	1040.6	734.3	7	15.69
141.3	212	0	203.5	0	971.8	748.5	28	29.89
387	20	94	157	11.6	938	845	7	41.67
313	161	0	178	10	917	759	28	52.44
225	0	0	181	0	1113	833	7	11.17
213.5	0	174.2	154.6	11.7	1052.3	775.5	56	51.43
350	0	0	203	0	974	775	14	22.53
136	196	98	199	6	847	783	28	26.97
222.4	0	96.7	189.3	4.5	967.1	870.3	14	24.45
350	0	0	203	0	974	775	56	29.98
190.3	0	125.2	161.9	9.9	1088.1	802.6	3	9.45
475	0	0	228	0	932	594	270	42.13
540	0	0	173	0	1125	613	270	74.17
389.9	189	0	145.9	22	944.7	755.8	7	59.09
307	0	0	193	0	968	812	180	34.49
275.1	0	121.4	159.5	9.9	1053.6	777.5	28	51.33
425	106.3	0	151.4	18.6	936	803.7	28	61.8
297.2	0	117.5	174.8	9.5	1022.8	753.5	3	21.91
427.5	47.5	0	228	0	932	594	90	41.54
307	0	0	193	0	968	812	3	12.54
181.9	272.8	0	185.7	0	1012.4	714.3	7	12.37
148	0	182	181	15	839	884	28	15.52
284	15	141	179	5.5	842	801	28	43.73
230	0	118.3	195.5	4.6	1029.4	758.6	14	20.08
273	105	82	210	9	904	680	28	37.17
140	133	103	200	7	916	753	28	36.44
150.9	0	183.9	166.6	11.6	991.2	772.2	28	15.57
249.1	0	98.8	158.1	12.8	987.8	889	100	51.06
154.8	183.4	0	193.3	9.1	877.2	867.7	28	23.79
322.5	148.6	0	185.8	8.5	951	709.5	28	52.43
290.4	0	96.2	168.1	9.4	961.2	865	14	34.67
366	187	0	191.3	6.6	824.3	756.9	28	65.91
446	24	79	162	11.6	967	712	7	38.02
446	24	79	162	11.6	967	712	3	25.02
165	0	150	182	12	1023	729	28	18.03
146.5	114.6	89.3	201.9	8.8	860	829.5	28	19.99
295.8	0	0	185.7	0	1091.4	769.3	7	14.84
260.9	100.5	78.3	200.6	8.6	864.5	761.5	28	32.4
164	163	128	197	8	961	641	28	27.23
393	0	0	192	0	940	758	28	39.58
154.8	0	142.8	193.3	9.1	877.2	867.7	28	9.74
424	22	132	178	8.5	882	750	3	32.01
425	106.3	0	153.5	16.5	852.1	887.1	7	49.2
380	0	0	228	0	932	670	90	52.91
159.8	250	0	168.4	12.2	1049.3	688.2	28	39.46
213.8	98.1	24.5	181.7	6.7	1066	785.5	14	17.84
424	22	132	178	8.5	822	750	56	65.7
525	0	0	189	0	1125	613	90	58.78
148	0	137	158	16	1002	830	28	17.95
289	0	0	192	0	913.2	895.3	7	14.6
159	187	0	176	11	990	789	28	32.76
149.5	236	0	175.8	12.6	846.8	892.7	28	32.96
133.1	210.2	0	195.7	3.1	949.4	795.3	28	28.94
210.7	316.1	0	185.7	0	977	689.3	28	37.81
149	236	0	176	13	847	893	28	32.96
252.1	97.1	75.6	193.8	8.3	835.5	821.4	28	33.4
446	24	79	162	11.6	967	712	28	44.42
144.8	0	133.6	180.8	11.1	979.5	811.5	28	13.2
286.3	200.9	0	144.7	11.2	1004.6	803.7	3	24.4
135.7	203.5	0	185.7	0	1076.2	759.3	28	18.2
168.9	42.2	124.3	158.3	10.8	1080.8	796.2	14	23.51
212	0	124.8	159	7.8	1085.4	799.5	3	19.52
192	288	0	192	0	929.8	716.1	3	12.79
151.6	0	111.9	184.4	7.9	992	815.9	28	12.18
425	106.3	0	153.5	16.5	852.1	887.1	3	33.4
362.6	189	0	164.9	11.6	944.7	755.8	7	22.9
331	0	0	192	0	1025	821	90	37.91
252	0	0	185	0	1111	784	7	13.71
236	0	0	193	0	968	885	180	24.1
425	106.3	0	153.5	16.5	852.1	887.1	91	65.2
172.4	13.6	172.4	156.8	4.1	1006.3	856.4	14	29.75
277.1	0	97.4	160.6	11.8	973.9	875.6	28	48.28
212.5	0	100.4	159.3	8.7	1007.8	903.6	28	31.64
150	237	0	174	12	1069	675	28	37.43
254	0	0	198	0	968	863	180	27.63
155	183	0	193	9	877	868	28	23.79
266	114	0	228	0	932	670	270	51.73
190.3	0	125.2	166.6	9.9	1079	798.9	14	19.42
203.5	305.3	0	203.5	0	963.4	630	90	51.86
264.5	111	86.5	195.5	5.9	832.6	790.4	28	41.54
374	189.2	0	170.1	10.1	926.1	756.7	7	46.2
139.6	209.4	0	192	0	1047	806.9	7	14.59
349	0	0	192	0	1047	806.9	3	15.05
339	0	0	185	0	1060	754	28	31.65
122.6	183.9	0	203.5	0	958.2	800.1	90	33.19
168.9	42.2	124.3	158.3	10.8	1080.8	796.2	100	48.15
164.2	0	200.1	181.2	12.6	849.3	846	28	15.09
425	106.3	0	151.4	18.6	936	803.7	7	46.8
237.5	237.5	0	228	0	932	594	270	38.41
296	0	0	192	0	1085	765	90	29.39
190.7	0	125.4	162.1	7.8	1090	804	14	21.06
375	93.8	0	126.6	23.4	852.1	992.6	56	60.2
397	0	0	186	0	1040	734	28	36.94
321.3	164.2	0	190.5	4.6	870	774	28	57.22
166.1	0	163.3	176.5	4.5	1058.6	780.1	100	33.54
213.8	98.1	24.5	181.7	6.7	1066	785.5	100	49.97
300	0	0	184	0	1075	795	7	15.58
382	0	0	186	0	1047	739	7	24
183.9	122.6	0	203.5	0	959.2	800	90	32.53
318.8	212.5	0	155.7	14.3	852.1	880.4	7	33.4
251.8	0	99.9	146.1	12.4	1006	899.8	3	21.02
298	0	107	186	6	879	815	28	42.64
165	128.5	132.1	175.1	8.1	1005.8	746.6	3	19.42
236	0	0	194	0	968	885	90	21.95
162	190	148	179	19	838	741	28	33.76
213.7	0	174.7	154.8	10.2	1053.5	776.4	28	40.15
230	0	118.3	195.5	4.6	1029.4	758.6	56	31.54
316.1	210.7	0	185.7	0	977	689.3	28	38.7
250	0	95.7	187.4	5.5	956.9	861.2	3	13.82
139.6	209.4	0	192	0	1047	806.9	28	28.24
300	0	120	212	10	878	728	28	23.84
190.3	0	125.2	166.6	9.9	1079	798.9	28	24.85
167	75.4	167	164	7.9	1007.3	770.1	56	53.46
133	200	0	192	0	927.4	839.2	7	13.66
295.7	0	95.6	171.5	8.9	955.1	859.2	100	52.04
331	0	0	192	0	879	825	3	13.52
144	136	106	178	7	941	774	28	26.14
153.1	145	113	178.5	8	867.2	824	28	26.23
173	116	0	192	0	946.8	856.8	7	11.39
310	0	0	192	0	1012	830	7	17.24
469	117.2	0	137.8	32.2	852.1	840.5	7	54.9
331	0	0	192	0	1025	821	120	39.38
277.1	0	97.4	160.6	11.8	973.9	875.6	56	51.04
446	24	79	162	11.6	967	712	28	51.02
202	11	141	206	1.7	942	801	56	23.25
356	0	142	193	11	801	778	28	40.87
284	15	141	179	5.5	842	801	3	13.4
304	76	0	228	0	932	670	180	50.95
425	106.3	0	151.4	18.6	936	803.7	91	66.7
295.7	0	95.6	171.5	8.9	955.1	859.2	3	22.95
289	0	0	192	0	913.2	895.3	28	25.57
213.7	0	174.7	154.8	10.2	1053.5	776.4	56	46.64
255	0	0	192	0	889.8	945	3	8.2
250	0	95.7	187.4	5.5	956.9	861.2	14	24.92
162	214	164	202	10	820	680	28	30.65
122.6	183.9	0	203.5	0	958.2	800.1	7	10.35
246.8	0	125.1	143.3	12	1086.8	800.9	14	42.22
213.5	0	174.2	154.6	11.7	1052.3	775.5	100	59.3
152.6	238.7	0	200	6.3	1001.8	683.9	28	26.86
198.6	132.4	0	192	0	978.4	825.5	3	9.13
480	0	0	192	0	936	721	28	43.89
375	0	0	186	0	1038	758	7	26.06
158.8	238.2	0	185.7	0	1040.6	734.3	7	9.62
500.1	0	0	200	3	1124.4	613.2	28	44.13
289	133.7	0	194.9	5.5	924.1	760.1	28	46.25
218.9	0	124.1	158.5	11.3	1078.7	794.9	100	46.23
250	0	0	182	0	1100	820	7	12.73
375	0	0	186	0	1038	758	28	38.21
322.2	0	115.6	196	10.4	817.9	813.4	28	31.18
362.6	189	0	164.9	11.6	944.7	755.8	28	71.3
252.3	0	98.8	146.3	14.2	987.8	889	56	55.83
296	0	0	186	0	1090	769	28	25.18
387	20	94	157	14.3	938	845	7	36.84
374	189.2	0	170.1	10.1	926.1	756.7	91	64.9
165	0	143.6	163.8	0	1005.6	900.9	28	26.2
198.6	132.4	0	192	0	978.4	825.5	90	38.07
139.6	209.4	0	192	0	1047	806.9	3	8.06
326	0	138	199	11	801	792	28	40.68
254	0	0	198	0	968	863	90	26.94
400	0	0	187	0	1025	745	7	30.14
318.8	212.5	0	155.7	14.3	852.1	880.4	56	66.1
182	45.2	122	170.2	8.2	1059.4	780.7	14	21.5
160	250	0	168	12	1049	688	28	39.45
446	24	79	162	11.6	967	712	28	57.03
190.7	0	125.4	162.1	7.8	1090	804	100	40.57
108.3	162.4	0	203.5	0	938.2	849	90	29.23
218.2	54.6	123.8	140.8	11.9	1075.7	792.7	100	63.53
251.4	0	118.3	192.9	5.8	1043.6	754.3	3	11.98
255.3	98.8	77	188.6	6.5	919	749.3	28	33.8
277.1	0	97.4	160.6	11.8	973.9	875.6	100	55.64
239.6	359.4	0	185.7	0	941.6	664.3	7	25.42
337.9	189	0	174.9	9.5	944.7	755.8	7	35.1
203.5	305.3	0	203.5	0	963.4	630	3	9.56
213.5	0	174.2	154.6	11.7	1052.3	775.5	28	45.94
525	0	0	189	0	1125	613	180	61.92
491	26	123	201	3.9	822	699	56	61.86
302	0	0	203	0	974	817	180	26.74
469	117.2	0	137.8	32.2	852.1	840.5	28	66.9
325	0	0	184	0	1063	783	7	17.54
166	259.7	0	183.2	12.7	858.8	826.8	28	37.92
136.4	161.6	125.8	171.6	10.4	922.6	764.4	28	29.07
469	117.2	0	137.8	32.2	852.1	840.5	91	70.7
331	0	0	192	0	978	825	180	39
277.2	97.8	24.5	160.7	11.2	1061.7	782.5	56	66.82
167	75.4	167	164	7.9	1007.3	770.1	3	15.52
166.1	0	163.3	176.5	4.5	1058.6	780.1	3	10.76
173.5	50.1	173.5	164.8	6.5	1006.2	793.5	28	38.2
380	95	0	228	0	932	594	28	36.45
255	0	0	192	0	889.8	945	7	10.22
238.1	0	0	185.7	0	1118.8	789.3	7	10.34
281	0	0	185	0	1104	774	28	22.44
425	106.3	0	153.5	16.5	852.1	887.1	28	60.29
173	116	0	192	0	946.8	856.8	28	24.28
475	0	0	228	0	932	594	28	39.29
376	0	0	214.6	0	1003.5	762.4	56	36.3
251.4	0	118.3	192.9	5.8	1043.6	754.3	14	20.73
288	192	0	192	0	932	717.8	3	16.11
439	177	0	186	11.1	884.9	707.9	7	56.1
250	0	95.7	191.8	5.3	948.9	857.2	14	24.66
237.5	237.5	0	228	0	932	594	180	36.25
337.9	189	0	174.9	9.5	944.7	755.8	91	67.8
427.5	47.5	0	228	0	932	594	270	43.01
400	0	0	187	0	1025	745	28	43.7
167.4	129.9	128.6	175.5	7.8	1006.3	746.6	28	41.2
475	0	0	228	0	932	594	7	38.6
531.3	0	0	141.8	28.2	852.1	893.7	3	41.3
321.4	0	127.9	182.5	11.5	870.1	779.7	28	37.27
212.1	0	121.6	180.3	5.7	1057.6	779.3	14	20.92
158	0	195	220	11	898	713	28	8.54
310	0	0	192	0	1012	830	90	35.76
436	0	0	218	0	838.4	719.7	28	23.85
251.4	0	118.3	192.9	5.8	1043.6	754.3	56	39.27
252.3	0	98.8	146.3	14.2	987.8	889	100	60.95
158.4	0	194.9	219.7	11	897.7	712.9	28	8.54
213.5	0	174.2	159.2	11.7	1043.6	771.9	100	52.96
475	0	0	228	0	932	594	90	42.23
313.3	262.2	0	175.5	8.6	1046.9	611.8	3	28.8
202	11	141	206	1.7	942	801	3	9.85
312.7	144.7	0	127.3	8	999.7	822.2	28	44.52
333	0	0	192	0	931.2	842.6	28	31.97
275.1	0	121.4	159.5	9.9	1053.6	777.5	3	23.8
222.4	0	96.7	189.3	4.5	967.1	870.3	3	11.58
151	0	184	167	12	991	772	28	15.57
213.5	0	174.2	159.2	11.7	1043.6	771.9	3	15.61
379.5	151.2	0	153.9	15.9	1134.3	605	56	54.9
236	0	0	193	0	968	885	7	9.99
194.7	0	100.5	165.6	7.5	1006.4	905.9	56	33.96
500	0	0	140	4	966	853	28	67.57
540	0	0	173	0	1125	613	14	59.76
304	76	0	228	0	932	670	90	49.19
297.2	0	117.5	174.8	9.5	1022.8	753.5	14	36.99
540	0	0	173	0	1125	613	28	67.31
298	0	107	210	11	880	744	28	31.87
193.5	290.2	0	185.7	0	998.2	704.3	28	32.63
387	20	94	157	13.9	938	845	28	46.68
159	149	116	175	15	953	720	28	27.68
186.2	124.1	0	185.7	0	1083.4	764.3	28	17.6
251.4	0	118.3	188.5	6.4	1028.4	757.7	100	44.21
190	190	0	228	0	932	670	180	46.93
212.1	0	121.6	180.3	5.7	1057.6	779.3	28	24.9
387	20	94	157	13.9	938	845	7	45.9
385	0	0	186	0	966	763	28	31.35
212	0	124.8	159	7.8	1085.4	799.5	28	38.5
200	133	0	192	0	965.4	806.2	7	17.17
376	0	0	214.6	0	1003.5	762.4	3	16.28
380	95	0	228	0	932	594	270	41.15
212.1	0	121.6	180.3	5.7	1057.6	779.3	56	34.2
313.3	262.2	0	175.5	8.6	1046.9	611.8	91	66.6
310	0	0	192	0	970	850	90	34.68
310	0	0	192	0	970	850	180	37.33
475	0	0	228	0	932	594	365	41.93
401.8	94.7	0	147.4	11.4	946.8	852.1	91	75.5
272.6	0	89.6	198.7	10.6	931.3	762.2	28	32.25
531.3	0	0	141.8	28.2	852.1	893.7	28	56.4
317.9	0	126.5	209.7	5.7	860.5	736.6	28	40.06
339	0	0	197	0	968	781	14	27.04
321	164	0	190	5	870	774	28	57.21
505	0	60	195	0	1030	630	28	64.02
480	0	0	192	0	936	721	3	24.39
212	141.3	0	203.5	0	973.4	750	3	6.81
178	129.8	118.6	179.9	3.6	1007.3	746.8	56	48.59
237.5	237.5	0	228	0	932	594	7	26.26
439	177	0	186	11.1	884.9	707.9	91	73.3
203.5	135.7	0	185.7	0	1076.2	759.3	7	11.96
307	0	0	193	0	968	812	365	36.15
451	0	0	165	11.3	1030	745	28	78.8
229.7	0	118.2	195.2	6.1	1028.1	757.6	14	22.32
